  -987.500000       0.00000000    
  -975.000000       0.00000000    
  -962.500000       0.00000000    
  -950.000000       0.00000000    
  -937.500000       0.00000000    
  -925.000000       0.00000000    
  -912.500000       0.00000000    
  -900.000000       0.00000000    
  -887.500000       0.00000000    
  -875.000000       0.00000000    
  -862.500000       0.00000000    
  -850.000000       0.00000000    
  -837.500000       0.00000000    
  -825.000000       0.00000000    
  -812.500000       0.00000000    
  -800.000000       0.00000000    
  -787.500000       0.00000000    
  -775.000000       0.00000000    
  -762.500000       0.00000000    
  -750.000000       0.00000000    
  -737.500000       0.00000000    
  -725.000000       0.00000000    
  -712.500000       0.00000000    
  -700.000000       0.00000000    
  -687.500000       0.00000000    
  -675.000000       0.00000000    
  -662.500000       0.00000000    
  -650.000000       0.00000000    
  -637.500000       0.00000000    
  -625.000000       0.00000000    
  -612.500000       0.00000000    
  -600.000000       0.00000000    
  -587.500000       0.00000000    
  -575.000000       0.00000000    
  -562.500000       0.00000000    
  -550.000000       0.00000000    
  -537.500000       0.00000000    
  -525.000000       0.00000000    
  -512.500000       0.00000000    
  -500.000000       0.00000000    
  -487.500000       0.00000000    
  -475.000000       0.00000000    
  -462.500000       0.00000000    
  -450.000000       0.00000000    
  -437.500000       0.00000000    
  -425.000000       0.00000000    
  -412.500000       0.00000000    
  -400.000000       0.00000000    
  -387.500000       0.00000000    
  -375.000000       0.00000000    
  -362.500000       0.00000000    
  -350.000000       0.00000000    
  -337.500000       0.00000000    
  -325.000000       0.00000000    
  -312.500000       0.00000000    
  -300.000000       0.00000000    
  -287.500000       0.00000000    
  -275.000000       0.00000000    
  -262.500000       0.00000000    
  -250.000000       0.00000000    
  -237.500000       0.00000000    
  -225.000000       0.00000000    
  -212.500000       0.00000000    
  -200.000000       0.00000000    
  -187.500000       0.00000000    
  -175.000000       0.00000000    
  -162.500000       0.00000000    
  -150.000000       0.00000000    
  -137.500000       0.00000000    
  -125.000000       0.00000000    
  -112.500000       0.00000000    
  -100.000000       0.00000000    
  -87.5000000       0.00000000    
  -75.0000000       0.00000000    
  -62.5000000       0.00000000    
  -50.0000000       0.00000000    
  -37.5000000       0.00000000    
  -25.0000000       0.00000000    
  -12.5000000       0.00000000    
   0.00000000       0.00000000    
   12.5000000       7.81223894E-42
   25.0000000       4.73807037E-41
   37.5000000       1.85405800E-40
   50.0000000       7.22296491E-40
   62.5000000       2.79989242E-39
   75.0000000       1.06996705E-38
   87.5000000       4.04586816E-38
   100.000000       1.51472988E-37
   112.500000       5.61526617E-37
   125.000000       2.06136430E-36
   137.500000       7.49284306E-36
   150.000000       2.69587002E-35
   162.500000       9.59648735E-35
   175.000000       3.37828122E-34
   187.500000       1.17572688E-33
   200.000000       4.04445766E-33
   212.500000       1.37506552E-32
   225.000000       4.62054033E-32
   237.500000       1.53454487E-31
   250.000000       5.03730456E-31
   262.500000       1.63441111E-30
   275.000000       5.24177457E-30
   287.500000       1.66171026E-29
   300.000000       5.20708804E-29
   312.500000       1.61285679E-28
   325.000000       4.93802756E-28
   337.500000       1.49438364E-27
   350.000000       4.47010805E-27
   362.500000       1.32167420E-26
   375.000000       3.86273446E-26
   387.500000       1.11597342E-25
   400.000000       3.18738164E-25
   412.500000       9.00060218E-25
   425.000000       2.51304381E-24
   437.500000       6.93821941E-24
   450.000000       1.89424941E-23
   462.500000       5.11427108E-23
   475.000000       1.36552630E-22
   487.500000       3.60576354E-22
   500.000000       9.41642538E-22
   512.500000       2.43207882E-21
   525.000000       6.21274436E-21
   537.500000       1.56969444E-20
   550.000000       3.92268434E-20
   562.500000       9.69613618E-20
   575.000000       2.37066862E-19
   587.500000       5.73336770E-19
   600.000000       1.37159377E-18
   612.500000       3.24585714E-18
   625.000000       7.59860105E-18
   637.500000       1.75975313E-17
   650.000000       4.03178683E-17
   662.500000       9.13870994E-17
   675.000000       2.04939873E-16
   687.500000       4.54709468E-16
   700.000000       9.98202070E-16
   712.500000       2.16815405E-15
   725.000000       4.65971120E-15
   737.500000       9.90912674E-15
   750.000000       2.08511322E-14
   762.500000       4.34163068E-14
   775.000000       8.94574467E-14
   787.500000       1.82403273E-13
   800.000000       3.68056280E-13
   812.500000       7.34979460E-13
   825.000000       1.45254739E-12
   837.500000       2.84115526E-12
   850.000000       5.50027385E-12
   862.500000       1.05393385E-11
   875.000000       1.99892377E-11
   887.500000       3.75271897E-11
   900.000000       6.97388952E-11
   912.500000       1.28290836E-10
   925.000000       2.33626007E-10
   937.500000       4.21178453E-10
   950.000000       7.51704754E-10
   962.500000       1.32826061E-09
   975.000000       2.32377673E-09
   987.500000       4.02533917E-09
   1000.00000       6.90447877E-09
   1012.50000       1.17274581E-08
   1025.00000       1.97263610E-08
   1037.50000       3.28614504E-08
   1050.00000       5.42188872E-08
   1062.50000       8.86068534E-08
   1075.00000       1.43438825E-07
   1087.50000       2.30027752E-07
   1100.00000       3.65460892E-07
   1112.50000       5.75286720E-07
   1125.00000       8.97324071E-07
   1137.50000       1.38700489E-06
   1150.00000       2.12479290E-06
   1162.50000       3.22637379E-06
   1175.00000       4.85651526E-06
   1187.50000       7.24772144E-06
   1200.00000       1.07251035E-05
   1212.50000       1.57391969E-05
   1225.00000       2.29089092E-05
   1237.50000       3.30771909E-05
   1250.00000       4.73826585E-05
   1262.50000       6.73509494E-05
   1275.00000       9.50105023E-05
   1287.50000       1.33038106E-04
   1300.00000       1.84940785E-04
   1312.50000       2.55281717E-04
   1325.00000       3.49959621E-04
   1337.50000       4.76552115E-04
   1350.00000       6.44735934E-04
   1362.50000       8.66799441E-04
   1375.00000       1.15826586E-03
   1387.50000       1.53864746E-03
   1400.00000       2.03235447E-03
   1412.50000       2.66979076E-03
