                 9                 8                 1                 5                28                27
                14                13                 2                 1                 8                 7
                19                18                 3                 2                13                12
                24                23                 4                 3                18                17
                29                28                 5                 4                23                22
                35                10                 9                27                26                31
                40                15                14                 7                 6                36
                45                20                19                12                11                41
                50                25                24                17                16                46
                55                30                29                22                21                51
                37                36                 6                10                35                34
                42                41                11                15                40                39
                47                46                16                20                45                44
                52                51                21                25                50                49
                32                31                26                30                55                54
                57                38                37                34                33                58
                56                43                42                39                38                57
                60                48                47                44                43                56
                59                53                52                49                48                60
                58                33                32                54                53                59
                 3                 4                 5                 1                 2                 3
                 6                 7                 8                 9                10                 6
                11                12                13                14                15                11
                16                17                18                19                20                16
                21                22                23                24                25                21
                26                27                28                29                30                26
                33                34                35                31                32                33
                38                39                40                36                37                38
                44                45                41                42                43                44
                48                49                50                46                47                48
                53                54                55                51                52                53
                60                56                57                58                59                60
