      22       2      21       5      26       6
      23       3      21       1      22       7
      24       4      21       2      23       8
      25       5      21       3      24       9
      26       1      21       4      25      10
      11      22       1      26      15      27
      12      23       2      22      11      28
      13      24       3      23      12      29
      14      25       4      24      13      30
      15      26       5      25      14      31
      28       7      22       6      27      16
      29       8      23       7      28      17
      30       9      24       8      29      18
      31      10      25       9      30      19
      27       6      26      10      31      20
      17      28      11      27      20      32
      18      29      12      28      16      32
      19      30      13      29      17      32
      20      31      14      30      18      32
      16      27      15      31      19      32
       3       4       5       1       2       3
       7       2       1       6      11       7
       8       3       2       7      12       8
       9       4       3       8      13       9
      10       5       4       9      14      10
       6       1       5      10      15       6
      16      11       6      15      20      16
      17      12       7      11      16      17
      18      13       8      12      17      18
      14       9      13      18      19      14
      15      10      14      19      20      15
      17      16      20      19      18      17
